Access control,Block Access (block_access),Not installed,7.x-1.6
Access control,Content Access (content_access),Not installed,7.x-1.2-beta2
Access control,Content Access Rules Integrations (content_access_rules),Not installed,7.x-1.2-beta2
Administration,Filter permissions (filter_perms),Not installed,7.x-1.0
Administration,Module filter (module_filter),Not installed,7.x-2.1
Biblio,Biblio (biblio),Not installed,7.x-1.0-rc7
Biblio,Biblio - BibTex (biblio_bibtex),Not installed,7.x-1.0-rc7
Biblio,Biblio - CiteProc (biblio_citeproc),Not installed,7.x-1.0-rc7
Biblio,Biblio - Crossref (biblio_crossref),Not installed,7.x-1.0-rc7
Biblio,Biblio - EndNote Tagged (biblio_tagged),Not installed,7.x-1.0-rc7
Biblio,Biblio - EndNote XML (biblio_xml),Not installed,7.x-1.0-rc7
Biblio,Biblio - MARC (biblio_marc),Not installed,7.x-1.0-rc7
Biblio,Biblio - PubMed (biblio_pm),Not installed,7.x-1.0-rc7
Biblio,Biblio - RIS (biblio_ris),Not installed,7.x-1.0-rc7
Biblio,Biblio - RTF (biblio_rtf),Not installed,7.x-1.0-rc7
Core,Aggregator (aggregator),Not installed,7.60
Core,Block (block),Enabled,7.60
Core,Blog (blog),Not installed,7.60
Core,Book (book),Not installed,7.60
Core,Color (color),Enabled,7.60
Core,Comment (comment),Enabled,7.60
Core,Contact (contact),Not installed,7.60
Core,Content translation (translation),Not installed,7.60
Core,Contextual links (contextual),Enabled,7.60
Core,Dashboard (dashboard),Enabled,7.60
Core,Database logging (dblog),Enabled,7.60
Core,Field (field),Enabled,7.60
Core,Field SQL storage (field_sql_storage),Enabled,7.60
Core,Field UI (field_ui),Enabled,7.60
Core,File (file),Enabled,7.60
Core,Filter (filter),Enabled,7.60
Core,Forum (forum),Not installed,7.60
Core,Help (help),Enabled,7.60
Core,Image (image),Enabled,7.60
Core,List (list),Enabled,7.60
Core,Locale (locale),Not installed,7.60
Core,Menu (menu),Enabled,7.60
Core,Node (node),Enabled,7.60
Core,Number (number),Enabled,7.60
Core,OpenID (openid),Not installed,7.60
Core,Options (options),Enabled,7.60
Core,Overlay (overlay),Enabled,7.60
Core,Path (path),Enabled,7.60
Core,PHP filter (php),Not installed,7.60
Core,Poll (poll),Not installed,7.60
Core,RDF (rdf),Enabled,7.60
Core,Search (search),Enabled,7.60
Core,Shortcut (shortcut),Enabled,7.60
Core,Statistics (statistics),Not installed,7.60
Core,Syslog (syslog),Not installed,7.60
Core,System (system),Enabled,7.60
